a	ə
taśmę	ˈtaɕ.mɛ
tchórz	txuʂ
te	tiː
teatr	ˈt̪ɛat̪r̥
technet	ˈtɛx.nɛt
techniczny	tɛxˈɲit͡ʂnɨ
techno	tɛk.no
tedy	ˈtɛ.dɨ
tego	ˈte.ɡoː
teista	ˈtʰeista
tej	ˈtɛd͡ʒ
teks	tɛks
tektura	tɛkˈtu.ra
tekturafalista	tɛkˈtu.ra faˈlʲi.sta
tekściarz	ˈtɛk.ɕt͡ɕaʂ
telefon	ˈtɛlɛfon
telefoniczny	tɛlɛfɔˈɲit͡ʂnɨ
telefonkomórkowy	tɛˈlɛfɔn kɔmurˈkɔvɨ
telefonnakartę	tɛˈlɛ.fɔn na ˈkar.tɛ
telefonowi	tɛ.lɛ.fɔˈnɔ.vʲi
telefonujący	tɛ.lɛ.fɔ.nuˈjɔn.t͡sɨ
telefony	tɛ.lɛˈfɔ.nɨ
telefonów	tɛ.lɛˈfɔ.nuf
telegrafować	tɛ.lɛ.ɡraˈfɔ.vat͡ɕ
telekom	tɛˈlɛ.kɔm
telenowela	tɛ.lɛ.nɔˈvɛ.la
teleobiektyw	tɛ.lɛ.ɔˈbʲɛk.tɨf
teleturniej	tɛ.lɛˈtur.ɲɛj
telewizja	tɛlɛˈvizja
telewizor	tɛlɛˈvʲizɔr
tellur	ˈtɛ.lʊr
temat	ˈtɛmat
temblak	ˈtɛm.blak
temperatura	tem.pe.raːˈtuː.ra
temperówka	ˌtɛmpɛˈɾufka
tempo	ˈtɛm.pəʊ
tempomat	tɛmˈpɔ.mat
temu	ˈtɛ.mu
ten	tɛn
tender	ˈtɛn.də(ɹ)
tenisista	tɛ.ɲiˈɕi.sta
tenisistka	t̪ɛɲiˈɕis̪t̪ka
tenisówka	tɛ.ɲiˈsuf.ka
tenisówki	tɛ.ɲiˈsuf.kʲi
teoria	ˈteoriɑ
terapia	t̪ɛˈrapja
teraz	ˈtɛras
teraźniejszy	tɛ.raʑˈɲɛj.ʂɨ
terb	tɛrp
terenie	tɛˈrɛ.ɲɛ
terkotka	tɛrˈkɔt.ka
termin	tɛrmiːn
terrorysta	tɛ.rrɔˈrɨ.sta
test	tɛst
testament	ˈtɛst.ə.mənt
teściowa	tɛɕˈt͡ɕɔva
teść	tɛɕt͡ɕ
też	tɛʂ
tir	tiʁ
tiramisu	ˌtɪɹəmɪˈsuː
tirówka	tiˈruf.ka
tkacz	tkat͡ʂ
tkaczka	ˈtkat͡ʂ.ka
tkający	tkaˈjɔn.t͡sɨ
tkanka	ˈtkan.ka
tkać	tkat͡ɕ
tlen	tlɛn
tleć	tlɛt͡ɕ
tą	tɔ̃
tę	tɛ
tęcza	ˈt̪ɛnt͡ʂa
tęczówka	t̪ɛ̃nˈt͡ʂufka
tędy	ˈt̪ɛ̃n̪d̪ɨ
tęgi	ˈtɛŋ.ɡʲi
tępy	ˈt̪ɛmpɨ
tęsknić	ˈt̪ɛ̃s̪cɲit͡ɕ
tęsknię	ˈtɛ̃.skɲɛ
tętnica	tɛnˈtɲi.t͡sa
tężec	ˈtɛŋ.ʐɛt͡s
tłoczyć	ˈtwɔ.t͡ʂɨt͡ɕ
tłok	twɔk
tłuc	twut͡s
tłuczek	ˈtwu.t͡ʂɛk
tłukno	ˈtwuk.nɔ
tłum	twum
tłumacze	twuˈma.t͡ʂɛ
tłumaczenie	twu.maˈt͡ʂɛ.ɲɛ
tłumaczyć	twuˈma.t͡ʂɨt͡ɕ
tłumaczyćjakkrowienarowie	twuˈma.t͡ʂɨt͡ɕ jak ˈkrɔ.vʲɛ na ˈrɔ.vʲɛ
tłumaczę	twuˈma.t͡ʂɛ
tłumić	ˈtwu.mʲit͡ɕ
u	u
uaktywnianie	u.ak.tɨvˈɲa.ɲɛ
uaktywniać	u.akˈtɨv.ɲat͡ɕ
uaktywnić	u.akˈtɨv.ɲit͡ɕ
ubek	ˈu.bɛk
ubierający	u.bʲɛ.raˈjɔn.t͡sɨ
ubogi	uˈbɔ.ɡʲi
ubolewać	ˌubɔˈlɛvat͡ɕ
uboższy	uˈbɔʂ.ʂɨ
ubytek	uˈbɨ.tɛk
ubywać	uˈbɨ.vat͡ɕ
ubóstwiać	uˈbu.stfʲat͡ɕ
ucho	ˈuxo
uchodźca	uˈxɔt͡ɕ.t͡sa
uchwyt	ˈu.xfɨt
ucieczka	uˈt͡ɕɛt͡ʂ.ka
ucieczki	uˈt͡ɕɛt͡ʂ.kʲi
uciekający	u.t͡ɕɛ.kaˈjɔn.t͡sɨ
uciekinier	u.t͡ɕɛˈkʲi.ɲɛr
uciekł	ˈu.t͡ɕɛkw
uciekła	uˈt͡ɕɛ.kwa
ucieleśniać	u.t͡ɕɛˈlɛɕ.ɲat͡ɕ
ucieleśnienie	u.t͡ɕɛ.lɛɕˈɲɛ.ɲɛ
uciążliwy	ut͡ɕɔ̃w̃ˈʐlʲivɨ
uczciwszy	ut͡ʂˈt͡ɕif.ʂɨ
uczciwy	ut͡ʂˈt͡ɕivɨ
uczelni	uˈt͡ʂɛl.ɲi
uczelnia	uˈt͡ʂɛlʲɲa
uczenie	uˈt͡ʂɛ.ɲɛ
uczeń	ˈut͡ʂɛɲ
uczony	uˈt͡ʂɔ.nɨ
uczta	ˈut͡ʂt̪a
uczucia	uˈt͡ʂu.t͡ɕa
uczucie	uˈt͡ʂut͡ɕɛ
uczulenie	u.t͡ʂuˈlɛ.ɲɛ
uczy	ˈu.t͡ʂɨ
uczynek	uˈt͡ʂɨ.nɛk
uczyć	ˈut͡ʂɨt͡ɕ
uda	udə
udaje	uˈda.jɛ
udar	ˈu.dar
udawaj	uˈda.vaj
udawaćGreka	uˈda.vat͡ɕ ˈɡrɛ.ka
uderz	ˈu.dɛʂ
uderzać	uˈd̪ɛʐat͡ɕ
uderzenie	ud̪ɛˈʐɛɲɛ
uderzył	uˈdɛ.ʐɨw
udko	ˈut̪kɔ
udręka	uˈdrɛŋ.ka
udziału	uˈd͡ʑa.wu
udziwniać	uˈd͡ʑiv.ɲat͡ɕ
udój	ˈu.duj
ufający	u.faˈjɔn.t͡sɨ
ugrzeczniać	uˈɡʐɛt͡ʂ.ɲat͡ɕ
ujadać	uˈja.dat͡ɕ
ujebać	uˈjɛ.bat͡ɕ
ujemny	uˈjɛmnɨ
ujgurski	ujˈɡurs̪kʲi
ukorzyć	uˈkɔ.ʐɨt͡ɕ
ukradł	ˈu.kradw
ukraiński	u.kraˈiɲ.skʲi
ukraść	ˈu.kraɕt͡ɕ
ukrywa	uˈkrɨ.va
ukrywać	uˈkrɨvatɕ
ukryć	ˈukrɨt͡ɕ
układ	ˈu.kwat
układscalony	ˈu.kwat st͡saˈlɔ.nɨ
ul	ul
ulga	ˈul.ɡa
ulic	ˈulɪts
ulica	uˈlit͡sa
ulicach	uˈlʲi.t͡sax
ulicami	u.lʲiˈt͡sa.mʲi
ulice	ˈulɪt͡sɛ
ulico	uˈlit͡sɔ
ulicom	uˈlʲi.t͡sɔm
ulicy	uˈlit͡sɨ
uliczka	uˈlʲit͡ʂ.ka
ulicą	uˈlʲi.t͡sɔ̃
ulicę	uˈlit͡sɛ
ulotka	uˈlɔt.ka
ultramaryna	ul.tra.maˈrɨ.na
umarł	ˈu.marw
umarła	uˈma.rwa
umiar	ˈu.mʲar
umiarkowanie	uˌmʲar.kɔˈva.ɲɛ
umie	ˈu.mʲɛ
umiejętności	u.mʲɛ.jɛnˈtnɔɕ.t͡ɕi
umiejętność	umjɛˈjɛw̃t̪n̪ɔɕt͡ɕ
umiejętny	u.mʲɛˈjɛn.tnɨ
umiem	ˈu.mʲɛm
umierający	u.mʲɛ.raˈjɔn.t͡sɨ
umieć	ˈu.mʲɛt͡ɕ
umięśnieni	ũmʲjẽĩ̯ɕˈɲẽɲi
umięśniony	ũmʲjẽĩ̯ɕˈɲɔ̃n̪ɨ
umowa	uˈmɔva
umowie	uˈmɔ.vʲɛ
umowy	uˈmɔ.vɨ
umowę	uˈmɔ.vɛ
umrze	ˈum.ʐɛ
umrzesz	ˈum.ʐɛʂ
umrzeć	ˈũmʐɛt͡ɕ
umrę	ˈu.mrɛ
umysł	ˈũmɨsw̥
umywaćręce	uˈmɨ.vat͡ɕ ˈrɛn.t͡sɛ
umyćsię	ˈumɨt͡ɕɕɛ
unaoczniać	u.naˈɔt͡ʂ.ɲat͡ɕ
undekan	unˈdɛ.kan
unia	ˈuɲja
unicestwiać	u.ɲiˈt͡sɛ.stfʲat͡ɕ
unicestwić	u.ɲiˈt͡sɛ.stfʲit͡ɕ
uniform	ˈjuːnɪfɔːm
unik	unik
unikający	u.ɲi.kaˈjɔn.t͡sɨ
uniwersytet	uɲiˈvɛrs̪ɨt̪ɛt̪
uodparniać	u.ɔtˈpar.ɲat͡ɕ
uosabiać	u.ɔˈsa.bʲat͡ɕ
uotwarte	u ɔˈtfar.tɛ
upadać	uˈpa.dat͡ɕ
upadłość	uˈpa.dwɔɕt͡ɕ
upadły	uˈpa.dwɨ
upartyjakosioł	uˈpar.tɨ jak ˈɔ.ɕɔw
upał	ˈu.paw
upaść	ˈu.paɕt͡ɕ
upgrade	ˈʌp.ɡɹeɪd
upiecdwiepieczenienajednymogniu	ˈu.pʲɛt͡s dvʲɛ pʲɛˈt͡ʂɛ.ɲɛ na ˈjɛd.nɨm ˈɔɡ.ɲu
upierdliwy	u.pʲɛrˈdlʲi.vɨ
upierdolić	u.pʲɛrˈdɔ.lʲit͡ɕ
upiorny	uˈpʲɔr.nɨ
upiór	ˈu.pʲur
upokarzający	u.pɔ.ka.ʐaˈjɔn.t͡sɨ
upokorzenie	upɔkɔˈʐɛɲɛ
upośledzać	u.pɔɕˈlɛ.d͡zat͡ɕ
upośledzenie	u.pɔɕ.lɛˈd͡zɛ.ɲɛ
upośledzony	u.pɔɕ.lɛˈd͡zɔ.nɨ
upraszczać	uˈpraʂ.t͡ʂat͡ɕ
uprawa	uˈpra.va
uproszczenie	u.prɔʂˈt͡ʂɛ.ɲɛ
uprzedzać	upˈʂɛ.d͡zat͡ɕ
uprzedzenie	up.ʂɛˈd͡zɛ.ɲɛ
uprzedzić	upˈʂɛ.d͡ʑit͡ɕ
uprzejmy	uˈpʂɛjmɨ
uprząż	ˈup.ʂɔŋʂ
upust	ˈu.pust
upuścić	uˈpuɕ.t͡ɕit͡ɕ
uran	ˈu.ran
uratować	uraˈt̪ɔvat͡ɕ
uratował	u.raˈtɔ.vaw
urlopmacierzyński	ˈur.lɔp ma.t͡ɕɛˈʐɨɲ.skʲi
urobek	uˈrɔ.bɛk
urodzenie	u.rɔˈd͡zɛ.ɲɛ
urodzin	uˈrɔ.d͡ʑin
urodzinowy	u.rɔ.d͡ʑiˈnɔ.vɨ
urodziny	urɔˈd͡ʑinɨ
urodzić	uˈrɔ.d͡ʑit͡ɕ
urojony	u.rɔˈjɔ.nɨ
urok	ˈu.rɔk
urolog	uˈrɔ.lɔk
urzekać	uˈʐɛ.kat͡ɕ
urząd	ˈuʐɔnt
urzędas	uˈʐɛn.das
urągać	uˈrɔŋ.ɡat͡ɕ
usiądź	ˈu.ɕɔɲt͡ɕ
usiąść	ˈu.ɕɔɲɕt͡ɕ
usnąć	ˈus.nɔɲt͡ɕ
uspokój	uˈspɔ.kuj
usposabiać	u.spɔˈsa.bʲat͡ɕ
usposobienie	u.spɔ.sɔˈbʲɛ.ɲɛ
ust	ust
usta	ˈusta
ustach	ˈu.stax
ustami	uˈsta.mʲi
ustawa	uˈsta.va
usterka	uˈstɛr.ka
ustny	ˈustnɨ
usłyszałem	u.swɨˈʂa.wɛm
ułamek	ˈuwamɛk
ułatwiać	uˈwat.fʲat͡ɕ
ułomny	uˈwɔm.nɨ
w	ˈdʌbl̩.juː
wabik	ˈva.bʲik
wabić	ˈva.bʲit͡ɕ
wacha	ˈva.xa
wachlarz	ˈvaxlaʂ
wachta	ˈvax.ta
wadera	vaˈdɛ.ra
wadzić	ˈva.d͡ʑit͡ɕ
wafel	ˈʋaːfəl
wafelek	vaˈfɛ.lɛk
waga	ˈwaɡa
wagary	vaˈɡa.rɨ
wagon	wæɡ.ən
wahadłowiec	va.xaˈdwɔ.vʲɛt͡s
wahający	va.xaˈjɔn.t͡sɨ
wajcha	ˈvajxa
wakacje	vaˈkat͡sʲjɛ
walce	ˈval.t͡sɛ
walczy	ˈval.t͡ʂɨ
walczyć	ˈvalt͡ʂɨt͡ɕ
walczył	ˈval.t͡ʂɨw
walentynki	valɛnˈtɨnki
walet	ˈvalɛt
walina	vaˈlʲi.na
waliza	vaˈliza
walizka	vaˈlʲis̪ka
walićkonia	ˈva.lʲit͡ɕ ˈkɔ.ɲa
walka	ˈvalka
walki	ˈval.kʲi
walkę	ˈval.kɛ
walny	ˈval.nɨ
waloński	vaˈlɔɲ.skʲi
waluta	vaˈlut̪a
wam	wam
wami	ˈwamʲi
wampir	ˈvampir
wanad	ˈva.nat
wanna	ˈwɑ.nə
wapień	ˈva.pʲɛɲ
wapno	ˈvap.nɔ
wapń	vapɲ
wara	ˈva.ra
waran	ˈva.ran
warchlak	ˈvar.xlak
warchoł	ˈvar.xɔw
warczeć	ˈvar.t͡ʂɛt͡ɕ
wardęga	varˈdɛŋ.ɡa
wariat	ˈvar.jat
warka	ˈvar.ka
warownia	vaˈrɔv.ɲa
warstwa	ˈvars̪t̪fa
warszawa	varˈʂa.va
warszawiak	varˈʂa.vʲak
warszawianka	var.ʂaˈvʲan.ka
warszawka	varˈʂaf.ka
warsztat	ˈvarʂt̪at̪
warta	ˈvar.ta
wartości	varˈtɔɕ.t͡ɕi
warunek	vaˈrunɛk
warunki	vaˈrun.kʲi
warunkowy	va.runˈkɔ.vɨ
warzucha	vaˈʐuxa
warzywo	vaˈʐɨ.vɔ
warzyć	ˈva.ʐɨt͡ɕ
was	wɒz
wasal	ˈva.sal
wasi	ˈvaɕi
wasz	vaʂ
wasza	ˈvaʂa
wasze	ˈvaʂɛ
waszego	vaˈʂɛɡɔ
waszej	ˈvaʂɛj
waszemu	vaˈʂɛ̃mu
waszmość	ˈvaʂ.mɔɕt͡ɕ
waszych	ˈvaʂɨx
waszym	ˈvaʂɨ̃m
waszymi	vaˈʂɨ̃mʲi
waszą	ˈvaʂɔ̃w̃
wataha	vaˈta.xa
watażka	vaˈtaʂ.ka
wazelina	va.zɛˈlʲi.na
waćpan	ˈvat͡ɕ.pan
wał	vaw
wałach	ˈvawax
waść	vaɕt͡ɕ
waśń	vaɕɲ
ważka	ˈvaʂka
ważki	ˈvaʂ.kʲi
ważna	ˈvaʐ.na
ważniak	ˈvaʐ.ɲak
ważniejszy	vaʐˈɲɛj.ʂɨ
ważny	ˈvaʐ.nɨ
ważyć	ˈva.ʐɨt͡ɕ
wchuj	fxuj
wdomu	ˈvdɔ.mu
wmordęjeża	ˈvmɔr.dɛ ˈjɛ.ʐa
wogóle	vɔˈɡu.lɛ
wporządku	fpɔˈʐɔn.tku
wzamian	ˈvza.mʲan
wąchać	ˈvɔŋ.xat͡ɕ
wądół	ˈvɔn.duw
wągier	ˈvɔŋ.ɡʲɛr
wąs	vɔ̃s
z	zɛd
za	zɑː
zaatakował	za.a.taˈkɔ.vaw
zabalsamować	za.bal.saˈmɔ.vat͡ɕ
zabawa	zaˈba.va
zabawka	zaˈbafka
zabawniejszy	za.bavˈɲɛj.ʂɨ
zabawny	zaˈbav.nɨ
zabawy	zaˈba.vɨ
zabawę	zaˈba.vɛ
zabierający	za.bʲɛ.raˈjɔn.t͡sɨ
zabieranie	za.bʲɛˈra.ɲɛ
zabierz	ˈza.bʲɛʂ
zabierzcie	zaˈbʲɛʂ.t͡ɕɛ
zabierze	zaˈbʲɛ.ʐɛ
zabierzemy	za.bʲɛˈʐɛ.mɨ
zabierzesz	zaˈbʲɛ.ʐɛʂ
zabij	ˈza.bʲij
zabijający	za.bʲi.jaˈjɔn.t͡sɨ
zabijać	zaˈbijat͡ɕ
zabije	zaˈbʲi.jɛ
zabijecie	za.bʲiˈjɛ.t͡ɕɛ
zabijemy	za.bʲiˈjɛ.mɨ
zabijesz	zaˈbʲi.jɛʂ
zabiją	zaˈbʲi.jɔ̃
zabiję	zaˈbʲi.jɛ
zabili	zaˈbʲi.lʲi
zabiorą	zaˈbʲɔ.rɔ̃
zabiorę	zaˈbʲɔ.rɛ
zabić	ˈzabit͡ɕ
zabił	ˈza.bʲiw
zabiła	zaˈbʲi.wa
zabiłem	zaˈbʲi.wɛm
zabiłeś	zaˈbʲi.wɛɕ
zabiły	zaˈbʲi.wɨ
zabobonny	za.bɔˈbɔn.nɨ
zabrali	zaˈbra.lʲi
zabraniający	za.bra.ɲaˈjɔn.t͡sɨ
zabraniać	zaˈbraɲat͡ɕ
zabrać	ˈz̪abrat͡ɕ
zabrała	zaˈbra.wa
zabójcą	zaˈbuj.t͡sɔ̃
zabójstwo	zaˈbujstfɔ
zachcianka	zaxˈt͡ɕan.ka
zaChinyludowe	za ˈxʲi.nɨ luˈdɔ.vɛ
zachodni	zaˈxɔdɲi
zachodnioflamandzki	zaxɔdˌɲɔflaˈmant͡skʲi
zachować	zaˈxɔvat͡ɕ
zachowuje	za.xɔˈvu.jɛ
zachowujesz	za.xɔˈvu.jɛʂ
zachód	ˈzäxut
zachęcać	zaˈxɛn.t͡sat͡ɕ
zachęta	zaˈxɛn.ta
zaciesz	ˈza.t͡ɕɛʂ
zacniejszy	zat͡sˈɲɛj.ʂɨ
zacny	ˈzat͡s.nɨ
zaczekaj	zaˈt͡ʂɛ.kaj
zaczekajcie	za.t͡ʂɛˈkaj.t͡ɕɛ
zacznie	ˈzat͡ʂ.ɲɛ
zaczniecie	zat͡ʂˈɲɛ.t͡ɕɛ
zaczniemy	zat͡ʂˈɲɛ.mɨ
zaczniesz	ˈzat͡ʂ.ɲɛʂ
zacznij	ˈzat͡ʂ.ɲij
zacznijcie	zat͡ʂˈɲij.t͡ɕɛ
zacznijmy	zat͡ʂˈɲij.mɨ
zaczną	ˈzat͡ʂ.nɔ̃
zacznę	ˈzat͡ʂ.nɛ
zaczyna	z̪aˈt͡ʂɨ̃n̪a
zaczynający	za.t͡ʂɨ.naˈjɔn.t͡sɨ
zaczynasz	zaˈt͡ʂɨ.naʂ
zacząć	ˈzat͡ʂɔɲt͡ɕ
zaczął	ˈza.t͡ʂɔ̃w
zacząłem	zaˈt͡ʂɔ̃.wɛm
zacząłeś	zaˈt͡ʂɔ̃.wɛɕ
zaczęli	zaˈt͡ʂɛ̃.lʲi
zaczęliśmy	za.t͡ʂɛ̃ˈlʲiɕ.mɨ
zaczęła	zaˈt͡ʂɛ̃.wa
zaczęłam	zaˈt͡ʂɛ̃.wam
zaczęłaś	zaˈt͡ʂɛ̃.waɕ
zaczęło	zaˈt͡ʂɛ̃.wɔ
zaczęły	zaˈt͡ʂɛ̃.wɨ
zad	zat
zadawaćsię	zaˈda.vat͡ɕ ɕɛ
zadać	ˈza.dat͡ɕ
zadowolony	za.dɔ.vɔˈlɔ.nɨ
zadośćuczynienie	za.dɔɕ.t͡ɕu.t͡ʂɨˈɲɛ.ɲɛ
zadupie	zaˈdu.pʲɛ
zadzwoni	zad͡zˈvɔ.ɲi
zadzwonić	zaˈd͡zvɔɲit͡ɕ
zadzwonię	zad͡zˈvɔ.ɲɛ
zadzwonił	zad͡zˈvɔ.ɲiw
zadzwoń	ˈz̪ad͡z̪vɔ̃ɲ
zagajnik	zaˈɡaj.ɲik
zaganiacz	zaˈɡa.ɲat͡ʂ
zaginął	zaˈɡʲi.nɔ̃w
zagramaniczny	ˌza.ɡra.maˈɲit͡ʂ.nɨ
zagranica	za.ɡraˈɲi.t͡sa
zagraniczny	za.ɡraˈɲit͡ʂ.nɨ
zagroda	zaˈɡrɔ.da
zaimek	ˈzaimɛk
zaimki	zaˈimci
zainsynuować	za.in.sɨ.nuˈɔ.vat͡ɕ
zaiste	zaˈi.stɛ
zaiwanić	za.iˈva.ɲit͡ɕ
zaiście	zaˈiɕ.t͡ɕɛ
zajawka	zaˈjaf.ka
zajazd	ˈzajast
zajebawszy	za.jɛˈbaf.ʂɨ
zajebać	zaˈjɛ.bat͡ɕ
zajebisty	z̪ajɛˈbʲis̪t̪ɨ
zajebiście	za.jɛˈbʲiɕ.t͡ɕɛ
zajekurwabiście	za.jɛˌkur.vaˈbiɕ.t͡ɕɛ
zajmie	ˈzaj.mʲɛ
zajmiemy	zajˈmʲɛ.mɨ
zajmij	ˈzaj.mʲij
zajmuje	zajˈmu.jɛ
zajmujesz	zajˈmu.jɛʂ
zajmuję	zajˈmu.jɛ
zajmę	ˈzaj.mɛ
zając	ˈza.jɔnt͡s
zajączek	ˈz̪ajɔnt͡ʂɛk
zajął	ˈza.jɔ̃w
zajęcie	zaˈjɛɲ.t͡ɕɛ
zajęczak	zaˈjɛn.t͡ʂak
zajęta	zaˈjɛn.ta
zajęty	z̪aˈjɛn̪t̪ɨ
zajęło	zaˈjɛ̃.wɔ
zakalec	zaˈka.lɛt͡s
zakazanamorda	za.kaˈza.na ˈmɔr.da
zakazać	zaˈkazat͡ɕ
zakała	zaˈka.wa
zakaźny	zaˈkaʑ.nɨ
zakażać	zaˈka.ʐat͡ɕ
zaklęcie	zakˈlɛɲ.t͡ɕɛ
zakochany	zakɔˈxanɨ
zakonnica	za.kɔnˈɲi.t͡sa
zakonnik	z̪aˈkɔɲːik
zakreślacz	zaˈkrɛɕ.lat͡ʂ
zakrzywiony	zak.ʂɨˈvʲɔ.nɨ
zakręt	ˈza.krɛnt
zakrętka	zaˈkrɛn.tka
zakupy	zaˈkupɨ
zakładający	za.kwa.daˈjɔn.t͡sɨ
zakładka	zaˈkwat.ka
zakładnik	zaˈkwadɲik
zakłócać	zaˈkwu.t͡sat͡ɕ
zaległość	zaˈlɛɡwɔɕt͡ɕ
zalew	ˈza.lɛf
zależało	za.lɛˈʐa.wɔ
zależy	zaˈlɛ.ʐɨ
zaliczka	zaˈlʲit͡ʂ.ka
zalotnik	zaˈlɔt.ɲik
zalążek	zaˈlɔŋ.ʐɛk
załatw	ˈza.watf
załatwię	zaˈwat.fʲɛ
załatwił	zaˈwat.fʲiw
zgóry	ˈzɡu.rɨ
zkosmosu	skɔsˈmɔ.su
zpolskiegonanasze	spɔlˈskʲɛ.ɡɔ na ˈna.ʂɛ
zprzewagąkupy	spʂɛˈva.ɡɔ̃ ˈku.pɨ
zrzędu	ˈzʐɛn.du
